Topic (Sub-Lesson),Question Text,Options (A|B|C|D),Correct Answer
Supervised vs. Unsupervised Learning,What is the key distinction between supervised and unsupervised learning?,Supervised learning is outdated while unsupervised learning is the modern choice | Supervised learning handles only images while unsupervised handles only text | Supervised learning is always linear while unsupervised is always nonlinear | Supervised learning uses labeled outputs while unsupervised does not,Supervised learning uses labeled outputs while unsupervised does not
Supervised vs. Unsupervised Learning,Which question is most naturally framed as a supervised learning problem?,Which of these news articles appear most similar to one another? | Is this incoming email message spam or not spam? | What previously hidden structure is present within this dataset? | How should these unlabeled customers be grouped into segments?,Is this incoming email message spam or not spam?
Supervised vs. Unsupervised Learning,Which question is most naturally framed as an unsupervised learning problem?,"How can these unlabeled data points be grouped by similarity? | Which one of two categories does this tumor most likely belong to? | What price should this house sell for, given past labeled sales? | Will this particular user end up clicking on the displayed ad?",How can these unlabeled data points be grouped by similarity?
Supervised vs. Unsupervised Learning,Why is unsupervised learning described as 'unsupervised'?,Because it can operate only on data that is randomly generated | Because the input examples it receives contain no features at all | Because the algorithm gets no correct answer for any example | Because it needs no human involvement of any kind whatsoever,Because the algorithm gets no correct answer for any example
Supervised vs. Unsupervised Learning,Which pairing of a task with its learning type is correct?,Spam filtering—unsupervised; market segmentation—supervised learning | Speech recognition—unsupervised; anomaly detection—supervised learning | Housing-price prediction—unsupervised; news clustering—supervised learning | Breast-tumor diagnosis—supervised; customer grouping—unsupervised,Breast-tumor diagnosis—supervised; customer grouping—unsupervised
Regression vs. Classification,What characterizes a regression problem?,The model happens to rely on more than one input feature | The goal is to predict a number from many possible values | The output is only an ordered ranking and nothing more | The output is selected from a small fixed set of categories,The goal is to predict a number from many possible values
Regression vs. Classification,What characterizes a classification problem?,The training data is restricted to just a single input feature | The model is required to take images as its only form of input | The model predicts one label from a limited set of categories | The model predicts any real-valued number along a continuum,The model predicts one label from a limited set of categories
Regression vs. Classification,Why is predicting a home's selling price treated as regression rather than classification?,"Because the data about houses is essentially always unlabeled | Because prices span many numeric values, not a few categories | Because the model used must take the form of a straight line | Because houses are physical, visual objects out in the world","Because prices span many numeric values, not a few categories"
Regression vs. Classification,Why can outputs written as 0 and 1 still describe classification rather than regression?,Because classification can never make any use of text-based labels at all | Because regression problems are restricted to using negative numbers only | Because any use of numbers at all automatically makes a task regression | Because what truly matters is that the outputs stand for categories,Because what truly matters is that the outputs stand for categories
Regression vs. Classification,Which of the following is the best example of a classification problem?,Predicting the exact final selling price of a home | Labeling a tumor as either benign or malignant | Forecasting tomorrow's high temperature in degrees | Estimating the height of a given person in centimeters,Labeling a tumor as either benign or malignant
Clustering in Unsupervised Learning,What is the goal of a clustering algorithm?,To predict a known output label for each example | To split every dataset into exactly two classes | To delete outlier points and clean the dataset | To group similar unlabeled examples together,To group similar unlabeled examples together
Clustering in Unsupervised Learning,Why is automatically grouping news articles by story (as in Google News) an example of clustering?,Because each individual article arrives with a manual topic label | Because it first translates every article before grouping it | Because it forecasts future stock prices from the article text | Because related articles are grouped without given labels,Because related articles are grouped without given labels
Clustering in Unsupervised Learning,"When clustering is applied to DNA microarray data to study a population, what is the algorithm trying to uncover?",A doctor-supplied diagnosis for each person | The precise expression value of every single gene | A health ranking from healthiest to least healthy | Types of individuals that emerge from the data,Types of individuals that emerge from the data
Clustering in Unsupervised Learning,"Why is market segmentation, grouping customers into segments, framed as an unsupervised learning problem?","Because the segments are discovered from data, not given as labels | Because the underlying marketing data can never be numeric values at all | Because unsupervised methods completely ignore how customers behave | Because every valid customer segment is required to be strictly binary","Because the segments are discovered from data, not given as labels"
Clustering in Unsupervised Learning,Which statement best captures an important caveat about the groups a clustering algorithm produces?,"It needs labeled training examples in order to function correctly | Its groups are structure it found, not guaranteed ground truth | It always reveals the one true number of groups that are present | It is simply regression carried out without any target values given","Its groups are structure it found, not guaranteed ground truth"
Anomaly Detection,What is anomaly detection primarily used for?,Detecting unusual events such as fraudulent charges | Transcribing long recordings of speech into written text | Grouping many similar news stories into shared topics | Predicting a house's selling price from its floor area,Detecting unusual events such as fraudulent charges
Anomaly Detection,"At a high level, how does anomaly detection differ from clustering?","Clustering predicts numbers, anomaly detection predicts categories | Clustering needs labels, but anomaly detection needs none at all | Clustering finds normal structure; anomaly detection flags oddities | They are one identical method known by two different names",Clustering finds normal structure; anomaly detection flags oddities
Anomaly Detection,Why can anomaly detection be valuable in finance?,"Because every single transaction is already labeled by default | Because only supervised regression is able to detect fraud | Because financial data contains no real patterns at all | Because rare, unusual transactions may signal fraud","Because rare, unusual transactions may signal fraud"
Anomaly Detection,Which scenario is the best fit for anomaly detection?,Choosing the single best slope for a regression line | Estimating the resale value of a family home accurately | Flagging account activity unlike its normal behavior | Sorting many customer reviews into positive and negative,Flagging account activity unlike its normal behavior
Anomaly Detection,Which common misunderstanding about anomaly detection should be avoided?,"That it just means finding numerically large values in the data | That any rare label is an anomaly, not behavior unlike the norm | That it can only ever be applied to image-classification problems | That it always requires building a three-dimensional cost surface","That any rare label is an anomaly, not behavior unlike the norm"
Dimensionality Reduction,What is the main purpose of dimensionality reduction?,"To add extra features so the model grows more complex | To assign a correct label to each unlabeled example | To guarantee that predictions become perfectly accurate | To compress data into fewer dimensions, losing little","To compress data into fewer dimensions, losing little"
Dimensionality Reduction,Why is dimensionality reduction considered a form of unsupervised learning?,Because it relies on reinforcement-style reward signals | Because its goal is always to predict discrete categories | Because it can only be run after a classification step | Because it works on inputs without needing output labels,Because it works on inputs without needing output labels
Dimensionality Reduction,Which outcome best reflects successful dimensionality reduction?,"More dimensions, with added redundancy in the features | A perfectly correct predicted label for every example | Fewer dimensions, with the key information preserved | Complete removal of any need for data preprocessing","Fewer dimensions, with the key information preserved"
Dimensionality Reduction,What is a key practical reason dimensionality reduction can matter?,It keeps the feature count exactly identical to before | It recasts every single learning problem as a regression task | It always raises model accuracy no matter the situation | It simplifies large data while keeping useful structure,It simplifies large data while keeping useful structure
Dimensionality Reduction,Which misunderstanding about dimensionality reduction should be avoided?,"That it shrinks the representation deliberately, not arbitrarily | That it can only ever be applied to image datasets in practice | That it just means dropping columns chosen completely at random | That it counts as supervised because it changes the model's inputs","That it shrinks the representation deliberately, not arbitrarily"
"Training Set, Features, Targets, and Predictions","In supervised learning, what is a training set?",The list of model parameters obtained after training | A dataset of inputs paired with their correct outputs | A collection containing solely unlabeled raw input data | A separate dataset reserved only for final deployment,A dataset of inputs paired with their correct outputs
"Training Set, Features, Targets, and Predictions","In standard supervised-learning notation, what does x represent?",The target output value | The count of training examples | The prediction the model makes | The input feature or features,The input feature or features
"Training Set, Features, Targets, and Predictions","In standard supervised-learning notation, what does y represent?",The model's estimated output | The value of the cost function | The actual target output value | The model's learning rate,The actual target output value
"Training Set, Features, Targets, and Predictions","In standard supervised-learning notation, what does y-hat represent?",A single special training example | The true output recorded in the training set | The number of input features used | The model's predicted estimate of y,The model's predicted estimate of y
"Training Set, Features, Targets, and Predictions","In standard supervised-learning dataset notation, what does m denote?",The total number of training examples | The size of the model's prediction error | The number of distinct output classes | The number of layers inside the model,The total number of training examples
Linear Regression Model,"In a task that predicts house price from house size, what does linear regression learn?",A list of fixed hand-written pricing rules | A set of discrete categories for home types | A grouping of houses into neighborhood clusters | A straight-line map from input to output,A straight-line map from input to output
Linear Regression Model,Why is linear regression classified as a regression model rather than a classification model?,Because it needs no labeled training data | Because it always relies on multiple features | Because it sorts inputs into discrete classes | Because it outputs continuous numeric values,Because it outputs continuous numeric values
Linear Regression Model,What does the term 'univariate linear regression' mean?,A linear model fit without any labels | A linear regression with a single input | A regression model with a single output class | A linear model trained on a single example,A linear regression with a single input
Linear Regression Model,"When first studying regression, why is it common to begin with a straight-line model before fitting more complex curves?",Because nonlinear models lack cost functions | Because curved models cannot fit real data | Because it is simple and builds intuition | Because straight lines are always most accurate,Because it is simple and builds intuition
Linear Regression Model,Which expression is the model form for linear regression with one input variable?,f(x) = w + x + b^2 | f(x) = wx + b | f(x) = (y-hat) + x | f(x) = x / y,f(x) = wx + b
Model Parameters: Weights and Bias,"In the model f(x) = wx + b, what are w and b together called?",The model's parameters | The model's predictions | The training examples | The target output labels,The model's parameters
Model Parameters: Weights and Bias,"In the linear model f(x) = wx + b, what does the weight w control?","The count of the training examples | The slope, or tilt, of the line | The stored set of target values | The recorded prediction error value","The slope, or tilt, of the line"
Model Parameters: Weights and Bias,"In the linear model f(x) = wx + b, what does the bias b represent?",The total number of features | The overall size of the dataset | The y-intercept of the line | A value held at zero in training,The y-intercept of the line
Model Parameters: Weights and Bias,"If w = 0 in the model f(x) = wx + b, what kind of prediction function results?","A flat, constant horizontal line | A vertical line through the origin | A two-output binary classifier | An upward-opening parabola","A flat, constant horizontal line"
Model Parameters: Weights and Bias,Why are the parameters w and b central to how a machine learning model learns?,They take the place of the training data | They are tuned in training to fit data | They only have an effect in clustering | They are fixed before any data is seen,They are tuned in training to fit data
Cost Function and Squared Error,What is the purpose of the cost function in linear regression?,It assigns a discrete class label to inputs | It gauges how well predictions match targets | It selects how many examples to train on | It rescales every input feature automatically,It gauges how well predictions match targets
Cost Function and Squared Error,"In the squared error cost function, what quantity is squared for each example?",The value of the input feature x used | The gap between the prediction and target | The value of the model's bias parameter b | The count of examples in the training set,The gap between the prediction and target
Cost Function and Squared Error,Why does the squared error cost function average the errors over the training set instead of just summing them?,So that the model becomes nonlinear | So that labels turn into input features | So cost does not grow with example count | So that predictions are no longer needed,So cost does not grow with example count
Cost Function and Squared Error,"Why is the squared error cost commonly scaled by 1/(2m) rather than 1/m, where m is the number of examples?",The 1/2 makes later derivatives cleaner | The 1/2 is needed only for classification | The 1/2 guarantees zero training error | The 1/2 changes which model class is used,The 1/2 makes later derivatives cleaner
Cost Function and Squared Error,Why is squared error a sensible loss choice for linear regression?,It is valid only when the bias b is zero | It ignores all of the smaller errors | It forces the predictions to be categorical | It penalizes large errors heavily and works well,It penalizes large errors heavily and works well
Cost Function Intuition and Model Fit,What does a smaller value of the cost function generally indicate?,The model is using a larger feature set | Predictions sit closer to the training targets | The training set contains fewer examples | The target labels have become categorical,Predictions sit closer to the training targets
Cost Function Intuition and Model Fit,"For the dataset (1,1), (2,2), (3,3) fit with f(x) = wx (no bias), why does the cost J(w) equal 0 when w = 1?",Because the slope of the line is negative | Because the learning rate is set to zero | Because each prediction equals its target | Because there is no training data to fit,Because each prediction equals its target
Cost Function Intuition and Model Fit,"On a scatter plot with a fitted regression line, what does the vertical gap between a data point and the line represent?",The total size of the training set | The learning rate used in training | The number of input features used | The prediction error for that point,The prediction error for that point
Cost Function Intuition and Model Fit,Why does minimizing the squared error cost tend to improve how well the model fits the data?,Because the cost is unrelated to prediction quality | Because a lower cost makes the slope steeper | Because lower cost means smaller squared errors | Because minimizing cost automatically adds data,Because lower cost means smaller squared errors
Cost Function Intuition and Model Fit,What key intuition emerges from comparing the cost produced by different values of the weight w?,Each value of w gives a different line and cost | One value of w can stand for many models | The cost is independent of the training data | The weight w changes the cost but not the line,Each value of w gives a different line and cost
Visualizing the Cost Function,"For linear regression with squared-error cost, when both the weight w and bias b are allowed to vary, what shape does the cost function J(w,b) trace out over the (w,b) plane?",A flat tilted plane with one constant slope all over | A rugged surface with many separate isolated valleys | A staircase built from discrete flat horizontal steps | A convex bowl with a single lowest point at its base,A convex bowl with a single lowest point at its base
Visualizing the Cost Function,"On a contour plot of the cost function J(w,b), what does a single contour line represent?","Predicted outputs for one fixed input value | The decision boundary of a trained classifier | Training examples that share the same label | Parameter pairs (w,b) that yield the same cost","Parameter pairs (w,b) that yield the same cost"
Visualizing the Cost Function,"Why is a contour plot a useful way to study the cost function J(w,b)?",It can only be drawn when the minimum cost equals zero | It removes the need to evaluate cost on the data | It shows model predictions without using any parameters | It depicts a 3D cost surface in 2D using equal-cost curves,It depicts a 3D cost surface in 2D using equal-cost curves
Visualizing the Cost Function,"On a contour plot of J(w,b) drawn as concentric ellipses, where does the parameter pair giving the minimum cost lie?",On the largest outermost ellipse | At the center of the smallest ellipse | Only along the line where b equals 0 | At any point where w is largest,At the center of the smallest ellipse
Visualizing the Cost Function,What relationship is illustrated by plotting candidate regression lines alongside their positions on the cost contour plot?,The quality of the line's fit is unrelated to the cost | Better-fitting lines map to parameters nearer the cost minimum | Only perfectly horizontal lines can minimize the cost | Every line through the data attains an identical cost value,Better-fitting lines map to parameters nearer the cost minimum
Gradient Descent,What is the central objective of the gradient descent algorithm?,"To automatically assign labels to unlabeled examples | To convert a regression problem into a classification one | To iteratively adjust parameters so as to reduce the cost | To reach a perfect, zero-error model in a single step",To iteratively adjust parameters so as to reduce the cost
Gradient Descent,"In the common analogy of standing on a hill and trying to reach the valley, how does gradient descent behave?","It steps uphill to gather more information first | It jumps to random spots until it lands in a valley | It moves only sideways, keeping its height unchanged | It repeatedly steps in the steepest downhill direction",It repeatedly steps in the steepest downhill direction
Gradient Descent,What is meant by a local minimum of a cost function in gradient descent?,Another name for the set of training examples that are used | The single point holding the highest cost in the whole space | A point lower than its neighbors but not the lowest overall | Any parameter values at which the total cost turns negative,A point lower than its neighbors but not the lowest overall
Gradient Descent,Why can the choice of starting parameter values affect the outcome of gradient descent on some cost surfaces?,Because gradient descent does not actually rely on any parameters | Because parameter initialization only ever matters in supervised tasks | Because different starting values can reach different local minima | Because the cost function completely ignores how it is initialized,Because different starting values can reach different local minima
Gradient Descent,Why is gradient descent regarded as important well beyond fitting linear regression?,"It applies only in the case where a model has one single free parameter | It removes any need to define a cost function when fitting a model | It serves solely to draw the cost contour plots used for inspection | It can optimize many functions, including large deep neural networks","It can optimize many functions, including large deep neural networks"
Derivatives and Gradient Descent Intuition,"At a given parameter value, what information does the derivative term provide to gradient descent?",Whether the dataset's examples are labeled or not | The total number of training examples available | The exact location of the global minimum of the cost | The direction and local steepness for updating the parameter,The direction and local steepness for updating the parameter
Derivatives and Gradient Descent Intuition,"In the update w := w - alpha * (dJ/dw), if the derivative dJ/dw at the current point is positive, how does w change (assuming alpha > 0)?",w stays fixed regardless of alpha | w decreases | w increases | w jumps directly to its target value,w decreases
Derivatives and Gradient Descent Intuition,"Using the same update w := w - alpha * (dJ/dw) with alpha > 0, if the derivative dJ/dw at the current point is negative, how does w change?",w is set to zero automatically | w is converted into a class label | w decreases even further | w increases,w increases
Derivatives and Gradient Descent Intuition,Why is drawing the tangent line to the cost curve helpful for building intuition about the derivative?,"It makes computing the cost function itself wholly unnecessary | Its slope approximates how the cost is changing at that point | It carries meaning only for classification, never for regression | It maps out the model's entire future training path exactly",Its slope approximates how the cost is changing at that point
Derivatives and Gradient Descent Intuition,What is the key intuition behind subtracting the derivative term when updating a parameter in gradient descent?,"It moves the parameter opposite the uphill slope, which lowers cost | It guarantees the updated parameter value always turns out negative | It forces the underlying model to collapse into a purely linear one | It makes the derivative term grow steadily larger on every step","It moves the parameter opposite the uphill slope, which lowers cost"
Learning Rate and Convergence,"In the gradient descent update rule, what does the learning rate alpha control?",The number of output classes to predict | The mathematical form of the cost function | How large each parameter update step is | The number of input features in the model,How large each parameter update step is
Learning Rate and Convergence,What is the likely effect of choosing a learning rate alpha that is too small?,The derivative becomes zero at every point | Gradient descent fails right away on the first step | The cost is forced to increase on each step | Gradient descent still works but converges very slowly,Gradient descent still works but converges very slowly
Learning Rate and Convergence,What can go wrong if the learning rate alpha is set too large?,The derivative vanishes after just one update | It may overshoot the minimum and fail to converge | The model automatically becomes more accurate | The algorithm silently switches to unsupervised learning,It may overshoot the minimum and fail to converge
Learning Rate and Convergence,"With a fixed learning rate alpha, why can gradient descent still settle into a minimum rather than stepping past it forever?","Because the model gradually stops paying any attention at all to the data | Because every local minimum just happens to share the exact same cost | Because the value of alpha quietly shrinks toward zero all on its own | Because the derivative shrinks near the minimum, so the steps get smaller","Because the derivative shrinks near the minimum, so the steps get smaller"
Learning Rate and Convergence,"If gradient descent arrives at a point where the derivative dJ/dw is exactly zero, what does the basic update rule do next?",It leaves the parameter unchanged | It replaces the current training set | It makes the parameter oscillate widely | It drives the cost down below zero,It leaves the parameter unchanged
Batch Gradient Descent,"Why is the standard form of gradient descent called ""batch"" gradient descent?",It trains many separate models in parallel | Each step uses the entire training set at once | It applies only to batches of image inputs | It updates one training example per step,Each step uses the entire training set at once
Batch Gradient Descent,"When computing the gradient in batch gradient descent for linear regression, what is the sum taken over?",Only the single largest-error example | Every training example in the dataset | Only features with the largest values | Only the unlabeled examples present,Every training example in the dataset
Batch Gradient Descent,What is one implication of computing each gradient descent update using the full training set?,Each update reflects the whole dataset | No cost function is needed to train | The parameter b can no longer change | The algorithm ignores the target values,Each update reflects the whole dataset
Batch Gradient Descent,"How does batch gradient descent differ from variants that use subsets of the data, such as mini-batch or stochastic gradient descent?","It computes updates without using any derivatives | It is identical in practice with no real difference | It uses all examples per step; the others use smaller subsets | It works only for classification, not regression tasks",It uses all examples per step; the others use smaller subsets
Batch Gradient Descent,"Which feature of the update rule justifies the name ""batch"" gradient descent?","Each derivative sums over i=1 to m, the whole set | ""Batch"" is just another word for vectorization | Parameters are updated in alphabetical order | The fitted line is plotted in separate batches","Each derivative sums over i=1 to m, the whole set"
Why Linear Regression’s Cost Function Has a Global Minimum,Why does squared-error linear regression avoid the multiple-local-minima problem that can affect more complex cost surfaces?,Because it holds w and b fixed at zero | Because it never relies on any derivatives | Because its cost function is convex and bowl-shaped | Because its cost ignores the training data,Because its cost function is convex and bowl-shaped
Why Linear Regression’s Cost Function Has a Global Minimum,"What does it mean for the squared-error cost function to be ""convex""?",It always evaluates to zero at initialization | It is bowl-shaped with a single global minimum | It depends on exactly one input feature | Its prediction must be a linear function,It is bowl-shaped with a single global minimum
Why Linear Regression’s Cost Function Has a Global Minimum,What practical benefit does the convexity of the squared-error cost provide when training linear regression with gradient descent?,"Training the model no longer requires using any data at all | Gradient descent converges to the answer in a single update step | The particular choice of cost function stops mattering at all | With a suitable learning rate, it reaches the global minimum","With a suitable learning rate, it reaches the global minimum"
Why Linear Regression’s Cost Function Has a Global Minimum,"Which statement best distinguishes the linear regression cost surface from a general ""hilly"" surface with many valleys?","The hilly case alone is supervised, while regression is unsupervised | Only the hilly surface ever makes any real use of gradient steps | Its squared-error surface is a single convex bowl, not many valleys | Linear regression actually has no free parameters left to optimize","Its squared-error surface is a single convex bowl, not many valleys"
Why Linear Regression’s Cost Function Has a Global Minimum,Which belief about gradient descent applied to squared-error linear regression is a misconception that should be avoided?,That its updates are computed from derivatives | That it tends to get stuck in poor local minima | That it depends on a chosen learning rate | That its goal is to minimize the cost function,That it tends to get stuck in poor local minima
Multiple Linear Regression,What is the key change when moving from univariate to multiple linear regression?,The training set no longer needs labels | It uses several input features instead of one | The model no longer has any parameters | The predicted output stops being numeric,It uses several input features instead of one
Multiple Linear Regression,"In multiple linear regression, what does the symbol n typically represent?",The number of input features | The number of training examples | The number of gradient descent steps | The number of output categories,The number of input features
Multiple Linear Regression,"In multiple-feature notation, what does x^(i) represent?",The ith feature across all examples | The target value of the ith example | The vector of all features for example i | The ith gradient descent update,The vector of all features for example i
Multiple Linear Regression,Why might multiple linear regression predict housing prices better than single-variable regression?,"It can use more relevant inputs like size, floors, and age | It mathematically guarantees perfectly accurate predictions | It quietly reframes the prediction task as a clustering problem | It completely removes the need to train on any data at all","It can use more relevant inputs like size, floors, and age"
Multiple Linear Regression,Which model form correctly expresses multiple linear regression?,"f(x) = w1*x1 + w2*x2 + ... + wn*xn + b | f(x) = x / y, a ratio of inputs | f(x) = category(x), a class label | f(x) = b, a constant with no inputs",f(x) = w1*x1 + w2*x2 + ... + wn*xn + b
Vector and Dot Product Notation,Why is vector notation introduced for multiple linear regression?,To eliminate the need for features | To write the same model more compactly | To turn the model into a classifier | To drop the bias term from the model,To write the same model more compactly
Vector and Dot Product Notation,"In f(x) = w·x + b, what does the dot product w·x compute?",The output class that scores the highest | The feature count multiplied by the bias | The gap between the target and the prediction | The sum of paired products of weights and features,The sum of paired products of weights and features
Vector and Dot Product Notation,"If w and x are vectors, what is the role of b in f(x) = w·x + b?",It counts the dimensions of vector w | It converts the input x into a matrix | It stores the current loss value | It is added as a separate scalar offset,It is added as a separate scalar offset
Vector and Dot Product Notation,Which statement correctly describes the notation used for multiple linear regression?,"Vectors show up only within unsupervised learning settings, never here | The bias b also becomes a vector whenever the input x is a vector | x^(i) can be a vector, unlike the scalar x in the univariate case | Dot product notation is useful only for drawing cost contour plots","x^(i) can be a vector, unlike the scalar x in the univariate case"
Vector and Dot Product Notation,"Regarding terminology, which point about naming this model is commonly clarified to avoid confusion?","Dot products taken between two vectors are simply not permitted in machine learning | Only one single input feature is ever truly capable of carrying meaningful signal | Vectors written in this notation are never once allowed to be laid out as rows | The model with multiple features is ""multiple,"" not ""multivariate,"" regression","The model with multiple features is ""multiple,"" not ""multivariate,"" regression"
Vectorization,Why is vectorization especially useful when writing machine learning code?,It makes the underlying model less mathematical | It guarantees a model with higher predictive accuracy | It usually makes the code shorter and faster to run | It removes the need to collect training data,It usually makes the code shorter and faster to run
Vectorization,What is the most efficient way to compute the dot product of a weight vector w and a feature vector x in Python?,"Sort the two vectors and then multiply them pairwise | Convert both vectors to strings before combining them | Use a vectorized NumPy operation such as np.dot(w, x) | Write out each multiplication term by hand and sum them","Use a vectorized NumPy operation such as np.dot(w, x)"
Vectorization,Why can vectorized code run much faster than an equivalent for-loop implementation?,Because libraries and hardware run many operations in parallel | Because it quietly cuts down the amount of training data used | Because it manages to avoid using any model parameters at all | Because it swaps the learning objective for a much simpler one,Because libraries and hardware run many operations in parallel
Vectorization,Which statement about vectorization is a misunderstanding that should be avoided?,It is purely a cosmetic rewrite with no effect on speed | It can improve efficiency without changing the mathematical result | It is most beneficial when there are many features to process | It lets code take advantage of optimized linear algebra libraries,It is purely a cosmetic rewrite with no effect on speed
Gradient Descent for Multiple Linear Regression,How does the gradient descent update change when moving from one feature to multiple features?,Each weight w_j gets its own update along with the bias b | The model becomes unsupervised and needs no labels | Only the bias b is updated while the weights stay fixed | The cost function is no longer needed during training,Each weight w_j gets its own update along with the bias b
Gradient Descent for Multiple Linear Regression,What stays conceptually the same when extending gradient descent to multiple linear regression?,The need for labeled training examples disappears | The number of parameters is always exactly one | The model output must now become categorical | Repeatedly updating parameters to reduce a cost function,Repeatedly updating parameters to reduce a cost function
Gradient Descent for Multiple Linear Regression,Why is vectorization especially helpful for gradient descent in multiple linear regression?,Because many parameters and features must be updated efficiently | Because it prevents the model from overfitting on its own | Because it converts the regression task into clustering | Because linear regression otherwise has no closed-form solution,Because many parameters and features must be updated efficiently
Gradient Descent for Multiple Linear Regression,"During training of a multiple linear regression model, what quantities are actually being updated?",The algebraic formula of the cost function | The weight vector w and the bias term b | The labeled training examples in the dataset | The names assigned to each input feature,The weight vector w and the bias term b
Gradient Descent for Multiple Linear Regression,Which belief is a common conceptual mistake when reasoning about the multi-feature gradient descent update?,The update is applied iteratively until the cost converges | Assuming there is still only one weight left to optimize | Vector notation can simplify how the update is written | Each input feature has its own weight that must be learned,Assuming there is still only one weight left to optimize
Normal Equation vs. Gradient Descent,What is the normal equation method used for?,Choosing how many input features to keep automatically | Solving for linear regression parameters without iterating | Grouping unlabeled data points into clusters | Training an arbitrary deep neural network architecture,Solving for linear regression parameters without iterating
Normal Equation vs. Gradient Descent,What is a key limitation of the normal equation compared with gradient descent?,It cannot be applied to linear regression problems | It requires all labels to be removed before solving | It always produces worse predictions than gradient descent | It does not generalize to most other learning algorithms,It does not generalize to most other learning algorithms
Normal Equation vs. Gradient Descent,Why might gradient descent still be preferred even though the normal equation exists?,It works across far more models and scales better | It removes the need to define any cost function | It only ever needs a single training example to run | It avoids every matrix computation entirely and forever,It works across far more models and scales better
Normal Equation vs. Gradient Descent,What might happen inside a mature machine learning library when it fits a linear regression model?,It is unable to solve for the parameters on its own | It may use the normal equation behind the scenes | It always restricts itself to batch gradient descent | It converts the regression problem into classification,It may use the normal equation behind the scenes
Normal Equation vs. Gradient Descent,Which statement about the normal equation is a misunderstanding that should be avoided?,It is a specialized alternative mainly for linear regression | Libraries may sometimes call it internally to fit a model | It skips iterative updates for that specific problem | It is the main general-purpose training method for modern models,It is the main general-purpose training method for modern models
Neural Networks vs. Decision Trees,What is one reason neural networks are attractive relative to simpler models like decision trees?,They outperform every other model on every possible task | They never require any optimization during training | They can be scaled up and combined into larger systems | They make labeled training data completely unnecessary,They can be scaled up and combined into larger systems
Neural Networks vs. Decision Trees,What broader point applies when comparing neural networks with other model families such as decision trees?,"Once neural networks exist, every simpler model is never useful for anything | Model families have trade-offs; neural nets excel in larger composite systems | Decision trees and neural networks are exactly identical models in theory | Neural networks fully remove any need for feature design in every single case",Model families have trade-offs; neural nets excel in larger composite systems
Neural Networks vs. Decision Trees,Why might neural networks be favored in systems that combine multiple learned components?,Because decision trees are simply unable to produce any predictions at all | Because combining several components removes the need for any training | Because neural networks can be trained well without using any data at all | Because neural network modules can be connected together more naturally,Because neural network modules can be connected together more naturally
